# 
# Barbour and Crowell (2016)
# Dynamic strains at PBO borehole strainmeters
# 
# 	'Station'	station identifier
# 	'Earthquake'	earthquake identifier
# 	'Mw'		moment magnitude
# 	'D.km'		hypocentral distance in km
# 	'logE'		log10 peak rms strain
#  
 Station Earthquake   Mw  D.km   logE     
 B088    2010.128_4.9 4.9 116.44 -7.233006
 B900    2009.276_4.9 4.9 213.15 -7.234742
 B084    2010.142_5.1 5.1 129.89 -7.236614
 B020    2012.313_6.2 6.2 468.27 -7.239247
 B086    2008.050_5.1 5.1 167.63 -7.245519
 B072    2010.188_5.5 5.5 442.22 -7.245589
 B057    2010.035_5.9 5.9 338.80 -7.248769
 B076    2011.239_4.8 4.8  96.64 -7.250156
 B081    2010.128_5.0 5.0 153.18 -7.250618
 B023    2012.102_6.0 6.0 486.95 -7.253591
 B030    2010.035_5.9 5.9 442.79 -7.254903
 B031    2010.209_5.2 5.2 212.58 -7.261990
 B916    2012.295_5.4 5.4 289.80 -7.264388
 B081    2008.040_5.1 5.1 179.32 -7.268494
 B036    2007.129_5.4 5.4 276.64 -7.269358
 B086    2008.043_5.0 5.0 163.72 -7.271716
 B081    2009.083_5.0 5.0 108.33 -7.275403
 B033    2012.046_5.9 5.9 369.41 -7.277431
 B006    2012.313_6.2 6.2 406.04 -7.282286
 B019    2008.360_5.8 5.8 469.14 -7.285822
 B073    2009.274_5.1 5.1 242.50 -7.292076
 B901    2009.276_4.9 4.9 224.58 -7.293512
 B086    2010.128_4.9 4.9 127.59 -7.293931
 B075    2013.144_5.7 5.7 479.27 -7.295996
 B027    2010.035_5.9 5.9 489.96 -7.297493
 B089    2010.128_4.9 4.9 134.75 -7.299195
 B032    2010.035_5.9 5.9 391.87 -7.300403
 B089    2010.257_5.0 5.0 208.44 -7.303597
 B082    2010.128_4.9 4.9 134.59 -7.304337
 B078    2010.188_5.5 5.5 442.67 -7.305193
 B078    2013.149_4.9 4.9 156.89 -7.307042
 B033    2008.010_6.3 6.3 417.21 -7.307919
 B040    2008.019_4.9 4.9 179.10 -7.308111
 B076    2010.188_5.5 5.5 455.15 -7.309696
 B917    2012.239_5.5 5.5 312.59 -7.310536
 B934    2012.203_5.2 5.2 162.37 -7.312496
 B927    2013.216_5.5 5.5 200.64 -7.319531
 B084    2010.095_5.0 5.0 116.48 -7.319899
 B007    2008.360_5.8 5.8 418.64 -7.320714
 B033    2012.102_6.0 6.0 388.82 -7.326372
 B076    2009.274_5.1 5.1 238.53 -7.327427
 B013    2008.255_5.2 5.2 461.77 -7.328541
 B084    2010.128_5.0 5.0 131.05 -7.329391
 B088    2011.049_5.2 5.2 205.25 -7.331970
 B075    2013.149_4.9 4.9 169.95 -7.334527
 B917    2009.276_4.9 4.9 125.80 -7.334755
 B084    2009.276_5.2 5.2 331.15 -7.338600
 B935    2009.219_5.0 5.0  88.00 -7.339201
 B075    2011.239_4.8 4.8  91.73 -7.341603
 B928    2013.216_5.5 5.5 191.34 -7.343133
 B082    2009.262_5.2 5.2 181.99 -7.343408
 B079    2010.188_5.5 5.5 424.58 -7.344617
 B089    2009.262_5.2 5.2 182.14 -7.350687
 B039    2008.019_4.9 4.9 138.77 -7.352129
 B014    2012.035_5.6 5.6 348.55 -7.352345
 B033    2013.089_4.9 4.9 416.94 -7.354379
 B087    2008.043_5.0 5.0 163.54 -7.359256
 B030    2008.010_6.3 6.3 445.44 -7.365467
 B916    2013.044_5.3 5.3 210.40 -7.365507
 B093    2010.128_4.9 4.9 143.31 -7.367304
 B088    2008.050_5.1 5.1 158.99 -7.367710
 B934    2009.219_5.0 5.0  94.71 -7.371272
 B900    2008.341_5.1 5.1 342.06 -7.371808
 B032    2010.209_5.2 5.2 212.85 -7.376286
 B019    2012.046_5.9 5.9 480.50 -7.378113
 B028    2008.010_6.3 6.3 438.96 -7.382030
 B012    2008.360_5.8 5.8 258.68 -7.384776
 B024    2012.102_6.0 6.0 407.42 -7.384959
 B093    2008.050_5.1 5.1 185.24 -7.387405
 B089    2008.050_5.1 5.1 175.12 -7.390976
 B927    2012.035_5.6 5.6 253.58 -7.391488
 B054    2012.295_5.4 5.4 211.60 -7.393755
 B073    2009.276_5.2 5.2 247.45 -7.397082
 B057    2012.295_5.4 5.4 245.38 -7.397217
 B934    2012.203_5.4 5.4 157.98 -7.397458
 B076    2013.149_4.9 4.9 169.27 -7.400338
 B030    2008.121_5.4 5.4 356.15 -7.403769
 B039    2008.333_5.9 5.9 403.21 -7.404949
 B078    2009.274_5.1 5.1 234.26 -7.405510
 B917    2012.239_5.4 5.4 314.12 -7.405922
 B001    2012.035_5.6 5.6 379.41 -7.406259
 B088    2009.262_5.2 5.2 166.12 -7.406561
 B087    2009.276_5.2 5.2 338.69 -7.406775
 B086    2009.262_5.2 5.2 174.64 -7.407682
 B082    2010.257_5.0 5.0 208.29 -7.411210
 B040    2008.333_5.9 5.9 421.32 -7.412841
 B918    2013.044_5.3 5.3 239.28 -7.413053
 B082    2008.043_5.0 5.0 171.12 -7.414892
 B019    2012.035_5.6 5.6 405.83 -7.415293
 B011    2012.035_5.6 5.6 347.67 -7.415568
 B010    2012.035_5.6 5.6 347.44 -7.416463
 B081    2008.042_5.1 5.1 193.13 -7.416581
 B020    2012.046_5.9 5.9 448.60 -7.416937
 B007    2012.035_5.6 5.6 351.99 -7.416993
 B032    2012.046_5.9 5.9 347.75 -7.418284
 B084    2008.050_5.1 5.1 167.90 -7.419806
 B017    2012.035_5.6 5.6 391.45 -7.422302
 B011    2013.216_5.5 5.5 313.17 -7.424280
