#  
# Join of  'bsm_station_times.txt'  and  'earthquakes.txt'
#
 year mo dy hr mi sec sta4 sta16            geodkm jday eqnum nlat  elon    depkm Mw  eqid        
 2005  4 16 19 18 22  B089 pathfi089bcs2006 285.91 106   25   35.03 -119.18 12.0  5.1 2005.106_5.1
 2005  6 12 15 41 51  B089 pathfi089bcs2006  15.73 163   26   33.63 -116.59 14.0  5.2 2005.163_5.2
 2005  6 16 20 53 30  B089 pathfi089bcs2006  66.75 167   28   34.09 -116.99 12.0  4.9 2005.167_4.9
 2005  8 31 22 50 23  B089 pathfi089bcs2006 116.68 243   31   32.92 -115.65 12.0  4.8 2005.243_4.8
 2005  9  2  1 27 24  B089 pathfi089bcs2006 108.91 245   32   33.23 -115.52 12.0  5.1 2005.245_5.1
 2006  5 24  4 20 30  B089 pathfi089bcs2006 179.11 144   39   32.43 -115.28 12.0  5.3 2006.144_5.3
 2008  2  9  7 12  9  B089 pathfi089bcs2006 162.91 040   61   32.56 -115.37 12.0  5.1 2008.040_5.1
 2008  2 11 18 29 35  B089 pathfi089bcs2006 176.70 042   62   32.46 -115.28 12.0  5.1 2008.042_5.1
 2008  2 12  4 32 41  B089 pathfi089bcs2006 171.26 043   63   32.48 -115.34 12.4  5.0 2008.043_5.0
 2008  2 19 22 41 31  B089 pathfi089bcs2006 175.12 050   64   32.41 -115.37 12.0  5.1 2008.050_5.1
 2008  2 20  1 28 57  B089 pathfi089bcs2006 174.65 051   65   32.45 -115.33 16.6  4.8 2008.051_4.8
 2008  2 22 19 31 20  B089 pathfi089bcs2006 180.11 053   67   32.45 -115.24 12.1  4.9 2008.053_4.9
 2008  7 29 18 42 20  B089 pathfi089bcs2006 122.60 211   87   33.93 -117.84 20.0  5.5 2008.211_5.5
 2008 12  6  4 18 46  B089 pathfi089bcs2006 138.30 341   94   34.83 -116.39 12.0  5.1 2008.341_5.1
 2009  3 24 11 55 46  B089 pathfi089bcs2006  93.66 083   96   33.31 -115.66 12.0  5.0 2009.083_5.0
 2009  9 19 22 55 22  B089 pathfi089bcs2006 182.14 262  102   32.37 -115.31 12.0  5.2 2009.262_5.2
 2009 10  1 10  1 28  B089 pathfi089bcs2006 327.32 274  103   36.37 -117.83 14.8  5.1 2009.274_5.1
 2009 10  3  1 16  6  B089 pathfi089bcs2006 327.96 276  105   36.39 -117.78 17.9  5.2 2009.276_5.2
 2009 10  3  1  9 24  B089 pathfi089bcs2006 331.35 276  104   36.41 -117.82 20.7  4.9 2009.276_4.9
 2009 12 30 18 49  1  B089 pathfi089bcs2006 184.16 364  108   32.46 -115.17 14.7  5.9 2009.364_5.9
 2010  4  4 22 41  9  B089 pathfi089bcs2006 182.54 094  112   32.31 -115.39 12.8  7.2 2010.094_7.2
 2010  4  5 11 14 18  B089 pathfi089bcs2006 121.57 095  113   32.76 -115.79 20.9  5.1 2010.095_5.1
 2010  4  5 13 33 11  B089 pathfi089bcs2006 124.07 095  114   32.81 -115.68 20.3  5.0 2010.095_5.0
 2010  4  8 16 44 30  B089 pathfi089bcs2006 195.29 098  115   32.25 -115.26 12.0  5.4 2010.098_5.4
 2010  4 15 10 20 49  B089 pathfi089bcs2006 223.99 105  116   32.04 -115.08 12.0  4.9 2010.105_4.9
 2010  5  8 18 33 12  B089 pathfi089bcs2006 136.94 128  120   32.60 -115.76 19.0  5.0 2010.128_5.0
 2010  5  8 18 46 28  B089 pathfi089bcs2006 134.75 128  121   32.59 -115.81 15.0  4.9 2010.128_4.9
 2010  5 22 17 31  0  B089 pathfi089bcs2006 135.18 142  123   32.58 -115.83 19.0  5.1 2010.142_5.1
 2010  6 15  4 27  1  B089 pathfi089bcs2006 119.84 166  124   32.66 -115.98 13.4  5.8 2010.166_5.8
 2010  7  7 23 53 38  B089 pathfi089bcs2006  33.97 188  125   33.41 -116.51 24.1  5.5 2010.188_5.5
 2010  9 14 10 52 22  B089 pathfi089bcs2006 208.44 257  127   32.14 -115.20 14.7  5.0 2010.257_5.0
 2010  9 20  0 30  6  B089 pathfi089bcs2006 216.36 263  128   32.11 -115.11 14.9  4.9 2010.263_4.9
 2010 12 11 12 52 31  B089 pathfi089bcs2006 192.90 345  132   32.31 -115.22 15.3  4.8 2010.345_4.8
 2011  2 18 17 47 38  B089 pathfi089bcs2006 221.77 049  135   32.08 -115.06 12.0  5.2 2011.049_5.2
 2012  7  1  3 25 21  B089 pathfi089bcs2006 191.12 183  155   32.23 -115.37 18.4  4.8 2012.183_4.8
 2012  7  1  6 36  8  B089 pathfi089bcs2006 202.49 183  156   32.18 -115.24 12.0  4.8 2012.183_4.8
 2012  8 26 19 32 26  B089 pathfi089bcs2006 120.95 239  164   32.92 -115.59 12.0  5.4 2012.239_5.4
 2012  8 26 20 58  1  B089 pathfi089bcs2006 121.11 239  165   32.95 -115.56 12.0  5.5 2012.239_5.5
 2012 10 21  6 55 14  B089 pathfi089bcs2006 491.12 295  170   36.27 -120.89 12.0  5.4 2012.295_5.4
 2013  5 29 14 38  7  B089 pathfi089bcs2006 333.56 149  179   34.45 -120.06 17.0  4.9 2013.149_4.9
 2004  3 17 23 53 14  B093 trippf093bcs2007 498.66 077    2   36.03 -121.35 12.0  4.7 2004.077_4.7
 2004  6 15 22 28 52  B093 trippf093bcs2007 166.98 167    3   32.45 -117.92 12.0  5.0 2004.167_5.0
 2004  9 28 17 15 31  B093 trippf093bcs2007 431.13 272    9   35.92 -120.54 12.0  6.0 2004.272_6.0
 2004  9 29 17 10  8  B093 trippf093bcs2007 436.35 273   10   36.00 -120.54 12.0  5.1 2004.273_5.1
 2004  9 29 22 54 57  B093 trippf093bcs2007 270.62 273   11   35.41 -118.73 12.0  5.0 2004.273_5.0
 2004  9 30 18 54 32  B093 trippf093bcs2007 439.84 274   12   36.02 -120.57 12.0  4.9 2004.274_4.9
 2005  4 16 19 18 22  B093 trippf093bcs2007 273.64 106   25   35.03 -119.18 12.0  5.1 2005.106_5.1
 2005  6 12 15 41 51  B093 trippf093bcs2007  22.54 163   26   33.63 -116.59 14.0  5.2 2005.163_5.2
 2005  6 16 20 53 30  B093 trippf093bcs2007  60.32 167   28   34.09 -116.99 12.0  4.9 2005.167_4.9
 2005  8 31 22 50 23  B093 trippf093bcs2007 128.46 243   31   32.92 -115.65 12.0  4.8 2005.243_4.8
 2005  9  2  1 27 24  B093 trippf093bcs2007 123.13 245   32   33.23 -115.52 12.0  5.1 2005.245_5.1
 2006  5 24  4 20 30  B093 trippf093bcs2007 189.71 144   39   32.43 -115.28 12.0  5.3 2006.144_5.3
 2008  2  9  7 12  9  B093 trippf093bcs2007 173.79 040   61   32.56 -115.37 12.0  5.1 2008.040_5.1
 2008  2 11 18 29 35  B093 trippf093bcs2007 187.45 042   62   32.46 -115.28 12.0  5.1 2008.042_5.1
 2008  2 12  4 32 41  B093 trippf093bcs2007 181.85 043   63   32.48 -115.34 12.4  5.0 2008.043_5.0
 2008  2 19 22 41 31  B093 trippf093bcs2007 185.24 050   64   32.41 -115.37 12.0  5.1 2008.050_5.1
 2008  2 20  1 28 57  B093 trippf093bcs2007 185.11 051   65   32.45 -115.33 16.6  4.8 2008.051_4.8
 2008  2 22 19 31 20  B093 trippf093bcs2007 190.97 053   67   32.45 -115.24 12.1  4.9 2008.053_4.9
 2008  7 29 18 42 20  B093 trippf093bcs2007 108.39 211   87   33.93 -117.84 20.0  5.5 2008.211_5.5
 2008 12  6  4 18 46  B093 trippf093bcs2007 141.89 341   94   34.83 -116.39 12.0  5.1 2008.341_5.1
 2009  3 24 11 55 46  B093 trippf093bcs2007 108.06 083   96   33.31 -115.66 12.0  5.0 2009.083_5.0
 2009  9 19 22 55 22  B093 trippf093bcs2007 192.33 262  102   32.37 -115.31 12.0  5.2 2009.262_5.2
 2009 10  1 10  1 28  B093 trippf093bcs2007 323.04 274  103   36.37 -117.83 14.8  5.1 2009.274_5.1
 2009 10  3  1 16  6  B093 trippf093bcs2007 323.90 276  105   36.39 -117.78 17.9  5.2 2009.276_5.2
 2009 10  3  1  9 24  B093 trippf093bcs2007 327.17 276  104   36.41 -117.82 20.7  4.9 2009.276_4.9
 2009 12 30 18 49  1  B093 trippf093bcs2007 195.32 364  108   32.46 -115.17 14.7  5.9 2009.364_5.9
 2010  4  4 22 41  9  B093 trippf093bcs2007 192.08 094  112   32.31 -115.39 12.8  7.2 2010.094_7.2
 2010  4  5 11 14 18  B093 trippf093bcs2007 131.29 095  113   32.76 -115.79 20.9  5.1 2010.095_5.1
 2010  4  5 13 33 11  B093 trippf093bcs2007 134.82 095  114   32.81 -115.68 20.3  5.0 2010.095_5.0
 2010  4  8 16 44 30  B093 trippf093bcs2007 205.16 098  115   32.25 -115.26 12.0  5.4 2010.098_5.4
 2010  4 15 10 20 49  B093 trippf093bcs2007 233.72 105  116   32.04 -115.08 12.0  4.9 2010.105_4.9
 2010  5  8 18 33 12  B093 trippf093bcs2007 145.86 128  120   32.60 -115.76 19.0  5.0 2010.128_5.0
 2010  5  8 18 46 28  B093 trippf093bcs2007 143.31 128  121   32.59 -115.81 15.0  4.9 2010.128_4.9
 2010  5 22 17 31  0  B093 trippf093bcs2007 143.50 142  123   32.58 -115.83 19.0  5.1 2010.142_5.1
 2010  6 15  4 27  1  B093 trippf093bcs2007 127.50 166  124   32.66 -115.98 13.4  5.8 2010.166_5.8
 2010  7  7 23 53 38  B093 trippf093bcs2007  40.13 188  125   33.41 -116.51 24.1  5.5 2010.188_5.5
 2010  9 14 10 52 22  B093 trippf093bcs2007 218.08 257  127   32.14 -115.20 14.7  5.0 2010.257_5.0
 2010  9 20  0 30  6  B093 trippf093bcs2007 226.24 263  128   32.11 -115.11 14.9  4.9 2010.263_4.9
 2010 12 11 12 52 31  B093 trippf093bcs2007 203.18 345  132   32.31 -115.22 15.3  4.8 2010.345_4.8
 2011  2 18 17 47 38  B093 trippf093bcs2007 231.74 049  135   32.08 -115.06 12.0  5.2 2011.049_5.2
 2012  7  1  3 25 21  B093 trippf093bcs2007 200.37 183  155   32.23 -115.37 18.4  4.8 2012.183_4.8
 2012  7  1  6 36  8  B093 trippf093bcs2007 212.14 183  156   32.18 -115.24 12.0  4.8 2012.183_4.8
 2012  8 26 19 32 26  B093 trippf093bcs2007 133.01 239  164   32.92 -115.59 12.0  5.4 2012.239_5.4
 2012  8 26 20 58  1  B093 trippf093bcs2007 133.49 239  165   32.95 -115.56 12.0  5.5 2012.239_5.5
 2012 10 21  6 55 14  B093 trippf093bcs2007 479.44 295  170   36.27 -120.89 12.0  5.4 2012.295_5.4
 2013  5 29 14 38  7  B093 trippf093bcs2007 318.99 149  179   34.45 -120.06 17.0  4.9 2013.149_4.9
 2004  7 12 16 45  4  B201 coldwt201bwa2007 294.11 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2010  7 28 16 12  7  B201 coldwt201bwa2007 412.62 209  126   43.72 -126.03 12.0  5.2 2010.209_5.2
 2011  9  9 19 41 36  B201 coldwt201bwa2007 493.31 252  145   49.27 -127.17 25.1  6.5 2011.252_6.5
 2004  7 12 16 45  4  B202 windyr202bwa2007 296.05 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2010  7 28 16 12  7  B202 windyr202bwa2007 415.64 209  126   43.72 -126.03 12.0  5.2 2010.209_5.2
 2004  7 12 16 45  4  B203 quarry203bwa2007 279.53 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2008  5  4  2 51 14  B203 quarry203bwa2007 491.72 125   76   42.99 -126.65 12.0  5.1 2008.125_5.1
 2008  7 12 15 46  2  B203 quarry203bwa2007 499.19 194   81   43.05 -126.87 18.5  5.0 2008.194_5.0
 2009 11  4 12 38 29  B203 quarry203bwa2007 496.26 308  106   43.24 -127.07 12.9  5.3 2009.308_5.3
 2010  7 28 16 12  7  B203 quarry203bwa2007 398.67 209  126   43.72 -126.03 12.0  5.2 2010.209_5.2
 2011  9  9 19 41 36  B203 quarry203bwa2007 499.94 252  145   49.27 -127.17 25.1  6.5 2011.252_6.5
 2012  9 26  7 42 41  B203 quarry203bwa2007 491.49 270  167   43.02 -126.69 12.4  4.8 2012.270_4.8
 2013  2 27 22 25 43  B203 quarry203bwa2007 496.85 058  176   43.03 -126.80 12.0  5.2 2013.058_5.2
 2013  7 20 17 20 56  B203 quarry203bwa2007 489.47 201  180   43.13 -126.81 16.2  4.8 2013.201_4.8
 2004  7 12 16 45  4  B204 marble204bwa2007 285.70 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2008  5  4  2 51 14  B204 marble204bwa2007 498.38 125   76   42.99 -126.65 12.0  5.1 2008.125_5.1
 2010  7 28 16 12  7  B204 marble204bwa2007 405.88 209  126   43.72 -126.03 12.0  5.2 2010.209_5.2
 2012  9 26  7 42 41  B204 marble204bwa2007 498.26 270  167   43.02 -126.69 12.4  4.8 2012.270_4.8
 2013  7 20 17 20 56  B204 marble204bwa2007 496.59 201  180   43.13 -126.81 16.2  4.8 2013.201_4.8
 2004  3 17 23 53 14  B900 blacka900bcn2007 127.98 077    2   36.03 -121.35 12.0  4.7 2004.077_4.7
 2004  6 15 22 28 52  B900 blacka900bcn2007 406.91 167    3   32.45 -117.92 12.0  5.0 2004.167_5.0
 2004  9 18 23  2 21  B900 blacka900bcn2007 284.22 262    7   38.02 -118.69 12.0  5.4 2004.262_5.4
 2004  9 18 23 43 44  B900 blacka900bcn2007 283.86 262    8   38.02 -118.70 12.0  5.4 2004.262_5.4
 2004  9 28 17 15 31  B900 blacka900bcn2007  56.34 272    9   35.92 -120.54 12.0  6.0 2004.272_6.0
 2004  9 29 17 10  8  B900 blacka900bcn2007  60.91 273   10   36.00 -120.54 12.0  5.1 2004.273_5.1
 2004  9 29 22 54 57  B900 blacka900bcn2007 119.93 273   11   35.41 -118.73 12.0  5.0 2004.273_5.0
 2004  9 30 18 54 32  B900 blacka900bcn2007  64.33 274   12   36.02 -120.57 12.0  4.9 2004.274_4.9
 2005  4 16 19 18 22  B900 blacka900bcn2007 104.98 106   25   35.03 -119.18 12.0  5.1 2005.106_5.1
 2005  6 12 15 41 51  B900 blacka900bcn2007 386.91 163   26   33.63 -116.59 14.0  5.2 2005.163_5.2
 2005  6 16 20 53 30  B900 blacka900bcn2007 327.29 167   28   34.09 -116.99 12.0  4.9 2005.167_4.9
 2005  9  2  1 27 24  B900 blacka900bcn2007 493.35 245   32   33.23 -115.52 12.0  5.1 2005.245_5.1
 2006  5 12 10 37 32  B900 blacka900bcn2007 427.71 132   38   38.80 -122.85 13.6  4.8 2006.132_4.8
 2007 10 31  3  4 59  B900 blacka900bcn2007 245.57 304   55   37.37 -121.78 13.9  5.6 2007.304_5.6
 2008  4 26  6 40 14  B900 blacka900bcn2007 429.74 117   73   39.56 -119.91 15.1  5.0 2008.117_5.0
 2008  7 29 18 42 20  B900 blacka900bcn2007 277.97 211   87   33.93 -117.84 20.0  5.5 2008.211_5.5
 2008 12  6  4 18 46  B900 blacka900bcn2007 342.06 341   94   34.83 -116.39 12.0  5.1 2008.341_5.1
 2009  3 24 11 55 46  B900 blacka900bcn2007 477.61 083   96   33.31 -115.66 12.0  5.0 2009.083_5.0
 2009 10  1 10  1 28  B900 blacka900bcn2007 210.33 274  103   36.37 -117.83 14.8  5.1 2009.274_5.1
 2009 10  3  1 16  6  B900 blacka900bcn2007 215.48 276  105   36.39 -117.78 17.9  5.2 2009.276_5.2
 2009 10  3  1  9 24  B900 blacka900bcn2007 213.15 276  104   36.41 -117.82 20.7  4.9 2009.276_4.9
 2010  6 15  4 27  1  B900 blacka900bcn2007 499.69 166  124   32.66 -115.98 13.4  5.8 2010.166_5.8
 2010  7  7 23 53 38  B900 blacka900bcn2007 407.93 188  125   33.41 -116.51 24.1  5.5 2010.188_5.5
 2011  4 17  0 45 41  B900 blacka900bcn2007 329.55 107  139   38.47 -118.71 12.9  4.8 2011.107_4.8
 2011  8 27  7 18 24  B900 blacka900bcn2007 143.12 239  143   36.51 -121.21 19.0  4.8 2011.239_4.8
 2011 10 27  6 37 14  B900 blacka900bcn2007 440.87 300  147   39.65 -120.32 32.7  4.9 2011.300_4.9
 2012 10 21  6 55 14  B900 blacka900bcn2007 103.58 295  170   36.27 -120.89 12.0  5.4 2012.295_5.4
 2013  2 13  0 10 20  B900 blacka900bcn2007 316.27 044  175   38.06 -118.04 16.2  5.3 2013.044_5.3
 2013  5 29 14 38  7  B900 blacka900bcn2007 138.12 149  179   34.45 -120.06 17.0  4.9 2013.149_4.9
 2004  3 17 23 53 14  B901 indspr901bcn2007 116.00 077    2   36.03 -121.35 12.0  4.7 2004.077_4.7
 2004  6 15 22 28 52  B901 indspr901bcn2007 413.47 167    3   32.45 -117.92 12.0  5.0 2004.167_5.0
 2004  9 18 23  2 21  B901 indspr901bcn2007 289.17 262    7   38.02 -118.69 12.0  5.4 2004.262_5.4
 2004  9 18 23 43 44  B901 indspr901bcn2007 288.77 262    8   38.02 -118.70 12.0  5.4 2004.262_5.4
 2004  9 28 17 15 31  B901 indspr901bcn2007  45.76 272    9   35.92 -120.54 12.0  6.0 2004.272_6.0
 2004  9 29 17 10  8  B901 indspr901bcn2007  51.23 273   10   36.00 -120.54 12.0  5.1 2004.273_5.1
 2004  9 29 22 54 57  B901 indspr901bcn2007 132.18 273   11   35.41 -118.73 12.0  5.0 2004.273_5.0
 2004  9 30 18 54 32  B901 indspr901bcn2007  54.62 274   12   36.02 -120.57 12.0  4.9 2004.274_4.9
 2005  4 16 19 18 22  B901 indspr901bcn2007 114.58 106   25   35.03 -119.18 12.0  5.1 2005.106_5.1
 2005  6 12 15 41 51  B901 indspr901bcn2007 397.48 163   26   33.63 -116.59 14.0  5.2 2005.163_5.2
 2005  6 16 20 53 30  B901 indspr901bcn2007 338.24 167   28   34.09 -116.99 12.0  4.9 2005.167_4.9
 2006  5 12 10 37 32  B901 indspr901bcn2007 420.24 132   38   38.80 -122.85 13.6  4.8 2006.132_4.8
 2007 10 31  3  4 59  B901 indspr901bcn2007 237.39 304   55   37.37 -121.78 13.9  5.6 2007.304_5.6
 2008  4 26  6 40 14  B901 indspr901bcn2007 429.74 117   73   39.56 -119.91 15.1  5.0 2008.117_5.0
 2008  7 29 18 42 20  B901 indspr901bcn2007 287.41 211   87   33.93 -117.84 20.0  5.5 2008.211_5.5
 2008 12  6  4 18 46  B901 indspr901bcn2007 354.31 341   94   34.83 -116.39 12.0  5.1 2008.341_5.1
 2009  3 24 11 55 46  B901 indspr901bcn2007 488.50 083   96   33.31 -115.66 12.0  5.0 2009.083_5.0
 2009 10  1 10  1 28  B901 indspr901bcn2007 221.87 274  103   36.37 -117.83 14.8  5.1 2009.274_5.1
 2009 10  3  1 16  6  B901 indspr901bcn2007 226.99 276  105   36.39 -117.78 17.9  5.2 2009.276_5.2
 2009 10  3  1  9 24  B901 indspr901bcn2007 224.58 276  104   36.41 -117.82 20.7  4.9 2009.276_4.9
 2010  7  7 23 53 38  B901 indspr901bcn2007 418.23 188  125   33.41 -116.51 24.1  5.5 2010.188_5.5
 2011  4 17  0 45 41  B901 indspr901bcn2007 333.67 107  139   38.47 -118.71 12.9  4.8 2011.107_4.8
 2011  8 27  7 18 24  B901 indspr901bcn2007 133.62 239  143   36.51 -121.21 19.0  4.8 2011.239_4.8
 2011 10 27  6 37 14  B901 indspr901bcn2007 439.86 300  147   39.65 -120.32 32.7  4.9 2011.300_4.9
 2012 10 21  6 55 14  B901 indspr901bcn2007  93.97 295  170   36.27 -120.89 12.0  5.4 2012.295_5.4
 2013  2 13  0 10 20  B901 indspr901bcn2007 322.94 044  175   38.06 -118.04 16.2  5.3 2013.044_5.3
 2013  5 29 14 38  7  B901 indspr901bcn2007 138.63 149  179   34.45 -120.06 17.0  4.9 2013.149_4.9
 2004  3 17 23 53 14  B916 marips916bcs2008 331.93 077    2   36.03 -121.35 12.0  4.7 2004.077_4.7
 2004  6 15 22 28 52  B916 marips916bcs2008 415.62 167    3   32.45 -117.92 12.0  5.0 2004.167_5.0
 2004  9 18 23  2 21  B916 marips916bcs2008 222.45 262    7   38.02 -118.69 12.0  5.4 2004.262_5.4
 2004  9 18 23 43 44  B916 marips916bcs2008 222.82 262    8   38.02 -118.70 12.0  5.4 2004.262_5.4
 2004  9 28 17 15 31  B916 marips916bcs2008 260.62 272    9   35.92 -120.54 12.0  6.0 2004.272_6.0
 2004  9 29 17 10  8  B916 marips916bcs2008 259.61 273   10   36.00 -120.54 12.0  5.1 2004.273_5.1
 2004  9 29 22 54 57  B916 marips916bcs2008 130.03 273   11   35.41 -118.73 12.0  5.0 2004.273_5.0
 2004  9 30 18 54 32  B916 marips916bcs2008 262.09 274   12   36.02 -120.57 12.0  4.9 2004.274_4.9
 2005  4 16 19 18 22  B916 marips916bcs2008 188.47 106   25   35.03 -119.18 12.0  5.1 2005.106_5.1
 2005  6 12 15 41 51  B916 marips916bcs2008 300.98 163   26   33.63 -116.59 14.0  5.2 2005.163_5.2
 2005  6 16 20 53 30  B916 marips916bcs2008 241.50 167   28   34.09 -116.99 12.0  4.9 2005.167_4.9
 2005  8 31 22 50 23  B916 marips916bcs2008 407.38 243   31   32.92 -115.65 12.0  4.8 2005.243_4.8
 2005  9  2  1 27 24  B916 marips916bcs2008 382.93 245   32   33.23 -115.52 12.0  5.1 2005.245_5.1
 2006  5 24  4 20 30  B916 marips916bcs2008 471.40 144   39   32.43 -115.28 12.0  5.3 2006.144_5.3
 2007 10 31  3  4 59  B916 marips916bcs2008 389.43 304   55   37.37 -121.78 13.9  5.6 2007.304_5.6
 2008  2  9  7 12  9  B916 marips916bcs2008 454.75 040   61   32.56 -115.37 12.0  5.1 2008.040_5.1
 2008  2 11 18 29 35  B916 marips916bcs2008 468.45 042   62   32.46 -115.28 12.0  5.1 2008.042_5.1
 2008  2 12  4 32 41  B916 marips916bcs2008 463.92 043   63   32.48 -115.34 12.4  5.0 2008.043_5.0
 2008  2 19 22 41 31  B916 marips916bcs2008 469.60 050   64   32.41 -115.37 12.0  5.1 2008.050_5.1
 2008  2 20  1 28 57  B916 marips916bcs2008 467.30 051   65   32.45 -115.33 16.6  4.8 2008.051_4.8
 2008  2 22 19 31 20  B916 marips916bcs2008 471.16 053   67   32.45 -115.24 12.1  4.9 2008.053_4.9
 2008  4 26  6 40 14  B916 marips916bcs2008 422.39 117   73   39.56 -119.91 15.1  5.0 2008.117_5.0
 2008  7 29 18 42 20  B916 marips916bcs2008 252.07 211   87   33.93 -117.84 20.0  5.5 2008.211_5.5
 2008 12  6  4 18 46  B916 marips916bcs2008 190.88 341   94   34.83 -116.39 12.0  5.1 2008.341_5.1
 2009  3 24 11 55 46  B916 marips916bcs2008 368.77 083   96   33.31 -115.66 12.0  5.0 2009.083_5.0
 2009  9 19 22 55 22  B916 marips916bcs2008 476.06 262  102   32.37 -115.31 12.0  5.2 2009.262_5.2
 2009 10  1 10  1 28  B916 marips916bcs2008  29.58 274  103   36.37 -117.83 14.8  5.1 2009.274_5.1
 2009 10  3  1 16  6  B916 marips916bcs2008  31.14 276  105   36.39 -117.78 17.9  5.2 2009.276_5.2
 2009 10  3  1  9 24  B916 marips916bcs2008  35.70 276  104   36.41 -117.82 20.7  4.9 2009.276_4.9
 2009 12 30 18 49  1  B916 marips916bcs2008 473.26 364  108   32.46 -115.17 14.7  5.9 2009.364_5.9
 2010  4  4 22 41  9  B916 marips916bcs2008 478.75 094  112   32.31 -115.39 12.8  7.2 2010.094_7.2
 2010  4  5 11 14 18  B916 marips916bcs2008 417.94 095  113   32.76 -115.79 20.9  5.1 2010.095_5.1
 2010  4  5 13 33 11  B916 marips916bcs2008 417.19 095  114   32.81 -115.68 20.3  5.0 2010.095_5.0
 2010  4  8 16 44 30  B916 marips916bcs2008 490.05 098  115   32.25 -115.26 12.0  5.4 2010.098_5.4
 2010  5  8 18 33 12  B916 marips916bcs2008 435.24 128  120   32.60 -115.76 19.0  5.0 2010.128_5.0
 2010  5  8 18 46 28  B916 marips916bcs2008 434.40 128  121   32.59 -115.81 15.0  4.9 2010.128_4.9
 2010  5 22 17 31  0  B916 marips916bcs2008 434.74 142  123   32.58 -115.83 19.0  5.1 2010.142_5.1
 2010  6 15  4 27  1  B916 marips916bcs2008 421.27 166  124   32.66 -115.98 13.4  5.8 2010.166_5.8
 2010  7  7 23 53 38  B916 marips916bcs2008 326.80 188  125   33.41 -116.51 24.1  5.5 2010.188_5.5
 2010 12 11 12 52 31  B916 marips916bcs2008 485.78 345  132   32.31 -115.22 15.3  4.8 2010.345_4.8
 2011  4 17  0 45 41  B916 marips916bcs2008 269.24 107  139   38.47 -118.71 12.9  4.8 2011.107_4.8
 2011  8 27  7 18 24  B916 marips916bcs2008 320.04 239  143   36.51 -121.21 19.0  4.8 2011.239_4.8
 2011 10 27  6 37 14  B916 marips916bcs2008 449.12 300  147   39.65 -120.32 32.7  4.9 2011.300_4.9
 2012  7  1  3 25 21  B916 marips916bcs2008 487.54 183  155   32.23 -115.37 18.4  4.8 2012.183_4.8
 2012  7  1  6 36  8  B916 marips916bcs2008 497.83 183  156   32.18 -115.24 12.0  4.8 2012.183_4.8
 2012  8 26 19 32 26  B916 marips916bcs2008 409.90 239  164   32.92 -115.59 12.0  5.4 2012.239_5.4
 2012  8 26 20 58  1  B916 marips916bcs2008 408.24 239  165   32.95 -115.56 12.0  5.5 2012.239_5.5
 2012 10 21  6 55 14  B916 marips916bcs2008 289.80 295  170   36.27 -120.89 12.0  5.4 2012.295_5.4
 2013  2 13  0 10 20  B916 marips916bcs2008 210.40 044  175   38.06 -118.04 16.2  5.3 2013.044_5.3
 2013  5 29 14 38  7  B916 marips916bcs2008 291.19 149  179   34.45 -120.06 17.0  4.9 2013.149_4.9
 2004  3 17 23 53 14  B917 tonyso917bcs2008 376.82 077    2   36.03 -121.35 12.0  4.7 2004.077_4.7
 2004  6 15 22 28 52  B917 tonyso917bcs2008 331.64 167    3   32.45 -117.92 12.0  5.0 2004.167_5.0
 2004  9 18 23  2 21  B917 tonyso917bcs2008 318.68 262    7   38.02 -118.69 12.0  5.4 2004.262_5.4
 2004  9 18 23 43 44  B917 tonyso917bcs2008 319.04 262    8   38.02 -118.70 12.0  5.4 2004.262_5.4
 2004  9 28 17 15 31  B917 tonyso917bcs2008 302.90 272    9   35.92 -120.54 12.0  6.0 2004.272_6.0
 2004  9 29 17 10  8  B917 tonyso917bcs2008 304.60 273   10   36.00 -120.54 12.0  5.1 2004.273_5.1
 2004  9 29 22 54 57  B917 tonyso917bcs2008 134.20 273   11   35.41 -118.73 12.0  5.0 2004.273_5.0
 2004  9 30 18 54 32  B917 tonyso917bcs2008 307.70 274   12   36.02 -120.57 12.0  4.9 2004.274_4.9
 2005  4 16 19 18 22  B917 tonyso917bcs2008 179.74 106   25   35.03 -119.18 12.0  5.1 2005.106_5.1
 2005  6 12 15 41 51  B917 tonyso917bcs2008 204.93 163   26   33.63 -116.59 14.0  5.2 2005.163_5.2
 2005  6 16 20 53 30  B917 tonyso917bcs2008 146.67 167   28   34.09 -116.99 12.0  4.9 2005.167_4.9
 2005  8 31 22 50 23  B917 tonyso917bcs2008 311.46 243   31   32.92 -115.65 12.0  4.8 2005.243_4.8
 2005  9  2  1 27 24  B917 tonyso917bcs2008 288.08 245   32   33.23 -115.52 12.0  5.1 2005.245_5.1
 2006  5 24  4 20 30  B917 tonyso917bcs2008 375.63 144   39   32.43 -115.28 12.0  5.3 2006.144_5.3
 2007 10 31  3  4 59  B917 tonyso917bcs2008 461.01 304   55   37.37 -121.78 13.9  5.6 2007.304_5.6
 2008  2  9  7 12  9  B917 tonyso917bcs2008 358.96 040   61   32.56 -115.37 12.0  5.1 2008.040_5.1
 2008  2 11 18 29 35  B917 tonyso917bcs2008 372.72 042   62   32.46 -115.28 12.0  5.1 2008.042_5.1
