sta4 year mo dy hr mi sec geodkm
B013 2005 3 1 0 32 27 465.19
B014 2005 3 1 0 32 27 403.70
B017 2005 3 1 0 32 27 437.45
B018 2005 3 1 0 32 27 476.75
B019 2005 3 1 0 32 27 444.54
B020 2005 3 1 0 32 27 444.26
B022 2005 3 1 0 32 27 462.71
B024 2005 3 1 0 32 27 487.62
B926 2005 3 1 0 32 27 377.20
B927 2005 3 1 0 32 27 339.91
B928 2005 3 1 0 32 27 305.45
B943 2005 3 1 0 32 27 465.15
B001 2005 3 1 21 34 30 455.64
B003 2005 3 1 21 34 30 380.51
B004 2005 3 1 21 34 30 359.03
B005 2005 3 1 21 34 30 427.92
B006 2005 3 1 21 34 30 428.11
B007 2005 3 1 21 34 30 427.87
B009 2005 3 1 21 34 30 434.08
B010 2005 3 1 21 34 30 434.09
B011 2005 3 1 21 34 30 434.31
B012 2005 3 1 21 34 30 289.97
B013 2005 3 1 21 34 30 473.93
B014 2005 3 1 21 34 30 411.71
B017 2005 3 1 21 34 30 444.48
B018 2005 3 1 21 34 30 483.99
B019 2005 3 1 21 34 30 450.81
B020 2005 3 1 21 34 30 449.82
B022 2005 3 1 21 34 30 467.30
B024 2005 3 1 21 34 30 491.66
B926 2005 3 1 21 34 30 387.47
B927 2005 3 1 21 34 30 350.71
B928 2005 3 1 21 34 30 315.91
B943 2005 3 1 21 34 30 473.89
B020 2005 3 7 2 34 35 489.13
B022 2005 3 7 2 34 35 444.88
B023 2005 3 7 2 34 35 496.72
B024 2005 3 7 2 34 35 418.75
B026 2005 3 7 2 34 35 391.09
B027 2005 3 7 2 34 35 379.34
B028 2005 3 7 2 34 35 378.99
B030 2005 3 7 2 34 35 363.61
B031 2005 3 7 2 34 35 303.97
B032 2005 3 7 2 34 35 304.35
B033 2005 3 7 2 34 35 310.92
B035 2005 3 7 2 34 35 279.27
B036 2005 3 7 2 34 35 279.40
B039 2005 3 7 2 34 35 374.16
B040 2005 3 7 2 34 35 367.89
B045 2005 3 7 2 34 35 327.20
B933 2005 3 7 2 34 35 359.68
B934 2005 3 7 2 34 35 393.18
B935 2005 3 7 2 34 35 350.04
B020 2005 3 7 2 48 22 491.47
B022 2005 3 7 2 48 22 447.21
B023 2005 3 7 2 48 22 499.01
B024 2005 3 7 2 48 22 421.06
B026 2005 3 7 2 48 22 393.36
B027 2005 3 7 2 48 22 381.32
B028 2005 3 7 2 48 22 380.98
B030 2005 3 7 2 48 22 365.37
B031 2005 3 7 2 48 22 305.68
B032 2005 3 7 2 48 22 306.06
B033 2005 3 7 2 48 22 312.36
B035 2005 3 7 2 48 22 280.13
B036 2005 3 7 2 48 22 280.26
B039 2005 3 7 2 48 22 374.32
B040 2005 3 7 2 48 22 368.30
B045 2005 3 7 2 48 22 326.26
B933 2005 3 7 2 48 22 358.57
B934 2005 3 7 2 48 22 392.09
B935 2005 3 7 2 48 22 349.28
B027 2005 3 18 7 24 2 480.71
B028 2005 3 18 7 24 2 480.27
B030 2005 3 18 7 24 2 432.28
B031 2005 3 18 7 24 2 382.32
B032 2005 3 18 7 24 2 382.69
B033 2005 3 18 7 24 2 352.07
B035 2005 3 18 7 24 2 264.64
B036 2005 3 18 7 24 2 264.93
B039 2005 3 18 7 24 2 233.18
B040 2005 3 18 7 24 2 259.79
B045 2005 3 18 7 24 2 76.40
B054 2005 3 18 7 24 2 363.87
B057 2005 3 18 7 24 2 329.72
B058 2005 3 18 7 24 2 490.71
B066 2005 3 18 7 24 2 484.86
B067 2005 3 18 7 24 2 494.63
B933 2005 3 18 7 24 2 87.35
B934 2005 3 18 7 24 2 119.00
B935 2005 3 18 7 24 2 111.59
B054 2005 4 16 19 18 22 414.31
B057 2005 4 16 19 18 22 449.63
B058 2005 4 16 19 18 22 292.35
B065 2005 4 16 19 18 22 281.18
B066 2005 4 16 19 18 22 297.39
B067 2005 4 16 19 18 22 288.80
B072 2005 4 16 19 18 22 138.59
B073 2005 4 16 19 18 22 155.55
B075 2005 4 16 19 18 22 157.32
B076 2005 4 16 19 18 22 151.86
B078 2005 4 16 19 18 22 139.08
B079 2005 4 16 19 18 22 120.84
B081 2005 4 16 19 18 22 269.98
B082 2005 4 16 19 18 22 286.03
B084 2005 4 16 19 18 22 295.96
B086 2005 4 16 19 18 22 293.55
B087 2005 4 16 19 18 22 292.10
B088 2005 4 16 19 18 22 298.92
B089 2005 4 16 19 18 22 285.91
B093 2005 4 16 19 18 22 273.64
B900 2005 4 16 19 18 22 104.98
B901 2005 4 16 19 18 22 114.58
B916 2005 4 16 19 18 22 188.47
B917 2005 4 16 19 18 22 179.74
B918 2005 4 16 19 18 22 175.29
B921 2005 4 16 19 18 22 168.30
B072 2005 6 12 15 41 51 421.43
B073 2005 6 12 15 41 51 438.11
B075 2005 6 12 15 41 51 440.25
B076 2005 6 12 15 41 51 434.20
B078 2005 6 12 15 41 51 421.86
B079 2005 6 12 15 41 51 403.87
B081 2005 6 12 15 41 51 21.27
B082 2005 6 12 15 41 51 15.78
B084 2005 6 12 15 41 51 19.77
B086 2005 6 12 15 41 51 18.21
B087 2005 6 12 15 41 51 21.28
B088 2005 6 12 15 41 51 32.31
B089 2005 6 12 15 41 51 15.73
B093 2005 6 12 15 41 51 22.54
B900 2005 6 12 15 41 51 386.91
B901 2005 6 12 15 41 51 397.48
B916 2005 6 12 15 41 51 300.98
B917 2005 6 12 15 41 51 204.93
B918 2005 6 12 15 41 51 272.14
B921 2005 6 12 15 41 51 231.52
B027 2005 6 15 2 51 5 466.66
B028 2005 6 15 2 51 5 466.25
B030 2005 6 15 2 51 5 433.20
B031 2005 6 15 2 51 5 374.08
B032 2005 6 15 2 51 5 374.49
B033 2005 6 15 2 51 5 361.34
B035 2005 6 15 2 51 5 293.88
B036 2005 6 15 2 51 5 294.13
B039 2005 6 15 2 51 5 331.54
B040 2005 6 15 2 51 5 342.50
B045 2005 6 15 2 51 5 219.95
B057 2005 6 15 2 51 5 478.87
B933 2005 6 15 2 51 5 240.65
B934 2005 6 15 2 51 5 273.30
B935 2005 6 15 2 51 5 251.96
B072 2005 6 16 20 53 30 362.01
B073 2005 6 16 20 53 30 378.46
B075 2005 6 16 20 53 30 380.79
B076 2005 6 16 20 53 30 374.47
B078 2005 6 16 20 53 30 362.41
B079 2005 6 16 20 53 30 344.67
B081 2005 6 16 20 53 30 50.93
B082 2005 6 16 20 53 30 66.91
B084 2005 6 16 20 53 30 73.64
B086 2005 6 16 20 53 30 73.93
B087 2005 6 16 20 53 30 76.14
B088 2005 6 16 20 53 30 87.35
B089 2005 6 16 20 53 30 66.75
